ConceptScheme URI,https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/providers,,,,,,,,
PREFIX,gcmd,https://gcmdservices.gsfc.nasa.gov/kms/concept/,,,,,,,
dct:title,GCMD Organisations Mediator,,,,,,,,
owl:versionInfo,1.0,,,,,,,,
dct:created,10/4/2018,,,,,,,,
dct:modified,10/16/2018,,,,,,,,
dct:modified,5/27/2019,,,,,,,,
dct:rights,Copyright 2018 European Space Agency.,,,,,,,,
rdf:type,http://www.w3.org/2002/07/owl#Ontology,,,,,,,,
# Change Log,,,,,,,,,
skos:changeNote,2018/10/16 - 3 organisation names for VITO added as they appear in the VITO PDF metadata.,,,,,,,,
,,,,,,,,,
URI,skos:hiddenLabel,skos:exactMatch,,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA/ESRIN,,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA,,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA - European Space Agency,,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA: European Space Agency,,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,European Space Agency,,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,European Space Agency (ESA),,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA (CCI Programme),,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,ESA (DWD),,c56b4a86-82f8-4f15-98ba-c5f7abe8ee5a,,,,,,
gcmd:3bf7a304-f778-40ec-b81b-1bb06fbc54ac,Centre for Environmental Data Analysis (CEDA),,3bf7a304-f778-40ec-b81b-1bb06fbc54ac,,,,,,
gcmd:78ad854e-e735-440e-b425-0d0f1467708a,NERC Earth Observation Data Centre (NEODC),,78ad854e-e735-440e-b425-0d0f1467708a,,,,,,
gcmd:a30665e4-6ce3-473b-bb47-9324e4210b33,CMEMS,,a30665e4-6ce3-473b-bb47-9324e4210b33,,,,,,
gcmd:64a6e9c0-fa38-488f-b22b-0d5838df48ee,Airbus Defence & Space,,64a6e9c0-fa38-488f-b22b-0d5838df48ee,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,DLR,,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,DLR-DFD,,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,German Aerospace Center (DLR) - German Remote Sensing Data Center (DFD),,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) - Deutsches Fernerkundungsdatenzentrum  (DFD),,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) - Deutsches Fernerkundungsdatenzentrum (DFD),,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,DFD-INF,,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,Deutsches Zentrum für Luft- und Raumfahrt (DLR) - Deutsches Fernerkundungsdatenzentrum (DFD),,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:2f9d7c12-c02d-41fb-a168-4d91794187f7,German Aerospace Center (DLR),,2f9d7c12-c02d-41fb-a168-4d91794187f7,,,,,,
gcmd:8749607f-8e12-4493-907c-6ca94f232ade,JAXA,,8749607f-8e12-4493-907c-6ca94f232ade,,,,,,
gcmd:b60cff41-3717-4919-8efd-33ee6c173d19,Flemish Institute for Technological Research (VITO),,b60cff41-3717-4919-8efd-33ee6c173d19,,,,,,
gcmd:b60cff41-3717-4919-8efd-33ee6c173d19,VITO (Flemish Institute for Technological Research),,b60cff41-3717-4919-8efd-33ee6c173d19,,,,,,
gcmd:b60cff41-3717-4919-8efd-33ee6c173d19,"European Space Agency, Copernicus Operations",,b60cff41-3717-4919-8efd-33ee6c173d19,,,,,,
gcmd:049cb720-9272-409a-b918-73742cf810d6,EUMETSAT,,049cb720-9272-409a-b918-73742cf810d6,,,,,,
gcmd:049cb720-9272-409a-b918-73742cf810d6,EUMETSAT (CM SAF),,049cb720-9272-409a-b918-73742cf810d6,,,,,,
gcmd:cddf386e-516e-4331-9cd0-5d92108c1c64,OSI SAF,,cddf386e-516e-4331-9cd0-5d92108c1c64,,,,,,
gcmd:049cb720-9272-409a-b918-73742cf810d6,H SAF,,049cb720-9272-409a-b918-73742cf810d6,,,,,,
gcmd:a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,CNES,,a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,,,,,,
gcmd:e59896e0-3b4d-43ea-9348-f1f456305d05,NOAA/NCEI,,e59896e0-3b4d-43ea-9348-f1f456305d05,,,,,,
gcmd:e59896e0-3b4d-43ea-9348-f1f456305d05,NOAA/NESDIS/NCEI,,e59896e0-3b4d-43ea-9348-f1f456305d05,,,,,,
gcmd:e59896e0-3b4d-43ea-9348-f1f456305d05,"NCEI, NOAA",,e59896e0-3b4d-43ea-9348-f1f456305d05,,,,,,
gcmd:e59896e0-3b4d-43ea-9348-f1f456305d05,NOAA NCEI,,e59896e0-3b4d-43ea-9348-f1f456305d05,,,,,,
gcmd:e59896e0-3b4d-43ea-9348-f1f456305d05,"NOAA, NCEI",,e59896e0-3b4d-43ea-9348-f1f456305d05,,,,,,
gcmd:1595f671-8978-48a8-ae99-e3a82d2450d5,Norwegian Meteorological Institute,,1595f671-8978-48a8-ae99-e3a82d2450d5,,,,,,
gcmd:b84e7c7b-588b-4df7-8d6a-2010371dcf90,U. S. Geological Survey,,b84e7c7b-588b-4df7-8d6a-2010371dcf90,,,,,,
gcmd:b84e7c7b-588b-4df7-8d6a-2010371dcf90,U.S. Geological Survey,,b84e7c7b-588b-4df7-8d6a-2010371dcf90,,,,,,
gcmd:b84e7c7b-588b-4df7-8d6a-2010371dcf90,U.S. Geological Survey (USGS),,b84e7c7b-588b-4df7-8d6a-2010371dcf90,,,,,,
gcmd:b2acf9ee-ae0e-4754-b17f-efb51868ed2d,ECMWF: European Centre for Medium-range Weather Forecast within the Copernicus Climate Change Service (C3S),,b2acf9ee-ae0e-4754-b17f-efb51868ed2d,,,,,,
gcmd:b2acf9ee-ae0e-4754-b17f-efb51868ed2d,ECMWF on behalf of C3S,,b2acf9ee-ae0e-4754-b17f-efb51868ed2d,,,,,,
gcmd:a880ba7c-0764-41d0-896b-32fca06ba3f8,Koninklijk Nederlands Meteorologisch Instituut (KNMI),,a880ba7c-0764-41d0-896b-32fca06ba3f8,,,,,,
gcmd:1909be17-f35e-495d-8baa-6de49611ee8a,JMA,,1909be17-f35e-495d-8baa-6de49611ee8a,,,,,,
gcmd:0f71e8d2-f98f-48a9-b133-89f658a28870,Science and Technology Facilities Council (STFC) RAL Space,,0f71e8d2-f98f-48a9-b133-89f658a28870,,,,,,
gcmd:39d392e2-dedc-47c1-b858-1991394ebc26,CPOM,,39d392e2-dedc-47c1-b858-1991394ebc26,,,,,,
gcmd:06106394-2989-4d9c-9de9-b26d4f4d6769,"Satellite Oceanographic Consultants, GlobWave",,06106394-2989-4d9c-9de9-b26d4f4d6769,,,,,,
gcmd:e1569365-7ec4-45c7-a0ba-b69a2a7ba8f4,EUMETSAT Satellite Application Facility on Ocean and Sea Ice / Meteo-France,,e1569365-7ec4-45c7-a0ba-b69a2a7ba8f4,,,,,,
gcmd:57a14338-6965-41de-9876-41fa6d259c51,European Commission,,57a14338-6965-41de-9876-41fa6d259c51,,,,,,
gcmd:447ec916-ceb0-4cbe-a605-84ec787f0b7a,Jet Propulsion Laboratory (NASA/JPL),,447ec916-ceb0-4cbe-a605-84ec787f0b7a,,,,,,
gcmd:447ec916-ceb0-4cbe-a605-84ec787f0b7a,JPL,,447ec916-ceb0-4cbe-a605-84ec787f0b7a,,,,,,
gcmd:447ec916-ceb0-4cbe-a605-84ec787f0b7a,Jet Propulsion Laboratory,,447ec916-ceb0-4cbe-a605-84ec787f0b7a,,,,,,
gcmd:c894c4eb-a1e1-4726-980f-85800666a6af,C3S,,c894c4eb-a1e1-4726-980f-85800666a6af,,,,,,
gcmd:c894c4eb-a1e1-4726-980f-85800666a6af,Copernicus Climate Change Service (C3S),,c894c4eb-a1e1-4726-980f-85800666a6af,,,,,,
gcmd:57a14338-6965-41de-9876-41fa6d259c51,EC,,57a14338-6965-41de-9876-41fa6d259c51,,,,,,
gcmd:a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,CNSA - CNES,,a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,CNES,,,,,
gcmd:a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,ISRO - CNES,,a6ce1f8b-fd7a-4196-b6a5-ac99ac81b96f,CNES,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
